Typical Measured Spectrum of Semrock FF01-497/16 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
271	9.3732E-06
271.2	8.6045E-06
271.4	7.8989E-06
271.6	7.2512E-06
271.8	6.6565E-06
272	6.1107E-06
272.2	5.6096E-06
272.4	5.1496E-06
272.6	4.7273E-06
272.8	4.3396E-06
273	3.9838E-06
273.2	3.6571E-06
273.4	3.4593E-06
273.6	3.6073E-06
273.8	3.7617E-06
274	3.9227E-06
274.2	4.0905E-06
274.4	4.2656E-06
274.6	4.4481E-06
274.8	4.6385E-06
275	4.837E-06
275.2	5.044E-06
275.4	5.2599E-06
275.6	5.485E-06
275.8	5.7197E-06
276	5.9645E-06
276.2	7.5175E-06
276.4	9.4749E-06
276.6	1.0478E-05
276.8	9.7085E-06
277	8.9954E-06
277.2	8.3347E-06
277.4	7.7225E-06
277.6	7.1552E-06
277.8	6.6297E-06
278	6.1427E-06
278.2	5.6915E-06
278.4	5.2735E-06
278.6	4.8862E-06
278.8	4.5273E-06
279	4.1947E-06
279.2	3.8866E-06
279.4	3.6011E-06
279.6	3.3908E-06
279.8	3.6365E-06
280	3.9001E-06
280.2	4.1828E-06
280.4	4.4859E-06
280.6	4.8111E-06
280.8	5.1598E-06
281	5.5338E-06
281.2	5.9349E-06
281.4	6.365E-06
281.6	6.8264E-06
281.8	7.3211E-06
282	7.8518E-06
282.2	8.4209E-06
282.4	9.0312E-06
282.6	9.6858E-06
282.8	8.5581E-06
283	7.1931E-06
283.2	6.0458E-06
283.4	5.0816E-06
283.6	4.2711E-06
283.8	3.5899E-06
284	3.0173E-06
284.2	2.5361E-06
284.4	2.1316E-06
284.6	1.7916E-06
284.8	1.5058E-06
285	1.2657E-06
285.2	1.0638E-06
285.4	8.9414E-07
285.6	7.5153E-07
285.8	6.8227E-07
286	6.7114E-07
286.2	6.602E-07
286.4	6.4943E-07
286.6	6.3883E-07
286.8	6.2841E-07
287	6.1816E-07
287.2	6.0807E-07
287.4	5.9815E-07
287.6	5.884E-07
287.8	5.788E-07
288	5.6936E-07
288.2	5.6007E-07
288.4	5.5093E-07
288.6	5.4194E-07
288.8	5.3291E-07
289	5.232E-07
289.2	5.1367E-07
289.4	5.0431E-07
289.6	4.9512E-07
289.8	4.861E-07
290	4.7724E-07
290.2	4.6855E-07
290.4	4.6001E-07
290.6	4.5163E-07
290.8	4.434E-07
291	4.3532E-07
291.2	4.2739E-07
291.4	4.196E-07
291.6	4.1195E-07
291.8	4.0445E-07
292	4.1232E-07
292.2	4.2232E-07
292.4	4.3255E-07
292.6	4.4303E-07
292.8	4.5377E-07
293	4.6477E-07
293.2	4.7603E-07
293.4	4.8757E-07
293.6	4.9938E-07
293.8	5.1149E-07
294	5.2388E-07
294.2	5.3658E-07
294.4	5.4958E-07
294.6	5.629E-07
294.8	5.7654E-07
295	5.1083E-07
295.2	4.1091E-07
295.4	3.3054E-07
295.6	2.6589E-07
295.8	2.1388E-07
296	1.7205E-07
296.2	1.6981E-07
296.4	1.676E-07
296.6	1.6542E-07
296.8	1.6326E-07
297	1.6114E-07
297.2	1.5904E-07
297.4	1.5697E-07
297.6	1.5493E-07
297.8	1.5291E-07
298	1.5092E-07
298.2	1.4897E-07
298.4	1.4719E-07
298.6	1.4544E-07
298.8	1.437E-07
299	1.4199E-07
299.2	1.4029E-07
299.4	1.3862E-07
299.6	1.3696E-07
299.8	1.3533E-07
300	1.3371E-07
300.2	1.3212E-07
300.4	1.3054E-07
300.6	1.2898E-07
300.8	1.2744E-07
301	1.2592E-07
301.2	1.2442E-07
301.4	1.4178E-07
301.6	1.6781E-07
301.8	1.9862E-07
302	2.3509E-07
302.2	2.7825E-07
302.4	3.2933E-07
302.6	3.8979E-07
302.8	4.6136E-07
303	5.4606E-07
303.2	6.4631E-07
303.4	7.6497E-07
303.6	9.0542E-07
303.8	1.0716E-06
304	1.2684E-06
304.2	1.5013E-06
304.4	1.5428E-06
304.6	1.3806E-06
304.8	1.2354E-06
305	1.1054E-06
305.2	9.8916E-07
305.4	8.8513E-07
305.6	7.9203E-07
305.8	7.0873E-07
306	6.3419E-07
306.2	3.4313E-07
306.4	3.1204E-07
306.6	2.8376E-07
306.8	2.5805E-07
307	2.3467E-07
307.2	2.1341E-07
307.4	1.9407E-07
307.6	1.7649E-07
307.8	1.6049E-07
308	1.4595E-07
308.2	1.3273E-07
308.4	1.207E-07
308.6	1.0977E-07
308.8	9.9819E-08
309	9.0775E-08
309.2	8.3458E-08
309.4	8.3468E-08
309.6	8.3479E-08
309.8	8.3489E-08
310	8.35E-08
310.2	8.351E-08
310.4	8.3521E-08
310.6	8.3531E-08
310.8	8.3542E-08
311	8.3552E-08
311.2	8.3562E-08
311.4	8.3573E-08
311.6	8.3583E-08
311.8	8.3594E-08
312	8.3604E-08
312.2	8.3615E-08
312.4	8.3145E-08
312.6	8.255E-08
312.8	8.196E-08
313	8.1374E-08
313.2	8.0793E-08
313.4	8.0215E-08
313.6	7.9642E-08
313.8	7.9073E-08
314	7.8508E-08
314.2	7.7947E-08
314.4	7.7389E-08
314.6	7.6836E-08
314.8	7.6287E-08
315	7.5742E-08
315.2	7.52E-08
315.4	7.8993E-08
315.6	8.8425E-08
315.8	9.8982E-08
316	1.108E-07
316.2	1.2403E-07
316.4	1.3884E-07
316.6	1.5541E-07
316.8	1.7397E-07
317	1.9474E-07
317.2	2.1799E-07
317.4	2.4401E-07
317.6	2.7314E-07
317.8	3.0575E-07
318	3.4226E-07
318.2	3.8312E-07
318.4	4.136E-07
318.6	3.6646E-07
318.8	3.247E-07
319	2.8769E-07
319.2	2.549E-07
319.4	2.2585E-07
319.6	2.0011E-07
319.8	1.773E-07
320	1.5709E-07
320.2	1.3919E-07
320.4	1.2333E-07
320.6	1.0927E-07
320.8	9.6817E-08
321	8.5782E-08
321.2	7.6006E-08
321.4	6.7343E-08
321.6	6.6017E-08
321.8	6.5929E-08
322	6.5841E-08
322.2	6.5753E-08
322.4	6.5666E-08
322.6	6.5578E-08
322.8	6.5491E-08
323	6.5403E-08
323.2	6.5316E-08
323.4	6.5229E-08
323.6	6.5142E-08
323.8	6.5055E-08
324	6.4968E-08
324.2	6.4882E-08
324.4	6.4795E-08
324.6	6.9167E-08
324.8	7.8147E-08
325	8.8293E-08
325.2	9.9755E-08
325.4	1.1271E-07
325.6	1.2734E-07
325.8	1.4387E-07
326	1.6255E-07
326.2	1.8365E-07
326.4	2.0749E-07
326.6	2.3443E-07
326.8	2.6487E-07
327	2.9925E-07
327.2	3.381E-07
327.4	3.82E-07
327.6	4.0434E-07
327.8	3.4814E-07
328	2.9974E-07
328.2	2.5808E-07
328.4	2.222E-07
328.6	1.9131E-07
328.8	1.6472E-07
329	1.4182E-07
329.2	1.2211E-07
329.4	1.0513E-07
329.6	9.0519E-08
329.8	7.7936E-08
330	6.7102E-08
330.2	5.7774E-08
330.4	4.9743E-08
330.6	4.2829E-08
330.8	4.2097E-08
331	4.1666E-08
331.2	4.1241E-08
331.4	4.0819E-08
331.6	4.0402E-08
331.8	3.9989E-08
332	3.9581E-08
332.2	3.9176E-08
332.4	3.8776E-08
332.6	3.838E-08
332.8	3.7988E-08
333	3.76E-08
333.2	3.7215E-08
333.4	3.6835E-08
333.6	3.6459E-08
333.8	4.092E-08
334	4.9E-08
334.2	5.8675E-08
334.4	7.026E-08
334.6	8.4134E-08
334.8	1.0075E-07
335	1.2064E-07
335.2	1.4446E-07
335.4	1.7298E-07
335.6	2.0714E-07
335.8	2.4804E-07
336	2.9702E-07
336.2	3.5566E-07
336.4	4.2589E-07
336.6	5.0998E-07
336.8	5.6725E-07
337	5.5942E-07
337.2	5.5169E-07
337.4	5.4406E-07
337.6	5.3655E-07
337.8	5.2913E-07
338	5.2182E-07
338.2	5.1461E-07
338.4	5.075E-07
338.6	5.0049E-07
338.8	4.9357E-07
339	4.8676E-07
339.2	4.8003E-07
339.4	4.734E-07
339.6	4.6686E-07
339.8	4.5627E-07
340	4.1113E-07
340.2	3.7046E-07
340.4	3.3381E-07
340.6	3.0079E-07
340.8	2.7103E-07
341	2.4422E-07
341.2	2.2006E-07
341.4	1.9829E-07
341.6	1.7867E-07
341.8	1.6099E-07
342	1.4507E-07
342.2	1.3072E-07
342.4	1.1778E-07
342.6	1.0613E-07
342.8	9.5632E-08
343	8.6668E-08
343.2	7.8637E-08
343.4	7.1351E-08
343.6	6.4739E-08
343.8	5.874E-08
344	5.3297E-08
344.2	4.8358E-08
344.4	4.3877E-08
344.6	3.9811E-08
344.8	3.6122E-08
345	3.2775E-08
345.2	2.9738E-08
345.4	2.6982E-08
345.6	2.4482E-08
345.8	2.2214E-08
346	2.256E-08
346.2	2.5035E-08
346.4	2.7781E-08
346.6	3.0828E-08
346.8	3.4209E-08
347	3.7961E-08
347.2	4.2125E-08
347.4	4.6745E-08
347.6	5.1872E-08
347.8	5.7562E-08
348	6.3875E-08
348.2	7.0882E-08
348.4	7.8656E-08
348.6	8.7283E-08
348.8	9.6857E-08
349	1.0457E-07
349.2	1.0589E-07
349.4	1.0723E-07
349.6	1.0858E-07
349.8	1.0995E-07
350	1.1134E-07
350.2	1.1275E-07
350.4	1.1417E-07
350.6	1.1562E-07
350.8	1.1708E-07
351	1.1855E-07
351.2	1.2005E-07
351.4	1.2157E-07
351.6	1.231E-07
351.8	1.2466E-07
352	1.2662E-07
352.2	1.3719E-07
352.4	1.4864E-07
352.6	1.6105E-07
352.8	1.745E-07
353	1.8906E-07
353.2	2.0485E-07
353.4	2.2195E-07
353.6	2.4048E-07
353.8	2.6055E-07
354	2.8231E-07
354.2	3.0587E-07
354.4	3.3141E-07
354.6	3.5908E-07
354.8	3.8906E-07
355	4.2154E-07
355.2	3.8673E-07
355.4	3.3945E-07
355.6	2.9795E-07
355.8	2.6152E-07
356	2.2955E-07
356.2	2.0149E-07
356.4	1.7685E-07
356.6	1.5523E-07
356.8	1.3625E-07
357	1.196E-07
357.2	1.0498E-07
357.4	9.2141E-08
357.6	8.0877E-08
357.8	7.0989E-08
358	6.231E-08
358.2	6.0682E-08
358.4	6.4453E-08
358.6	6.8458E-08
358.8	7.2712E-08
359	7.723E-08
359.2	8.2029E-08
359.4	8.7126E-08
359.6	9.254E-08
359.8	9.8291E-08
360	1.044E-07
360.2	1.1089E-07
360.4	1.1778E-07
360.6	1.2509E-07
360.8	1.3287E-07
361	1.4112E-07
361.2	1.5029E-07
361.4	1.6101E-07
361.6	1.7249E-07
361.8	1.848E-07
362	1.9798E-07
362.2	2.121E-07
362.4	2.2723E-07
362.6	2.4344E-07
362.8	2.608E-07
363	2.7941E-07
363.2	2.9934E-07
363.4	3.2069E-07
363.6	3.4356E-07
363.8	3.6807E-07
364	3.9432E-07
364.2	4.2817E-07
364.4	5.5592E-07
364.6	7.2178E-07
364.8	9.3712E-07
365	1.2167E-06
365.2	1.5797E-06
365.4	2.051E-06
365.6	2.663E-06
365.8	3.4574E-06
366	4.489E-06
366.2	5.0562E-06
366.4	5.695E-06
366.6	6.4146E-06
366.8	7.2251E-06
367	8.138E-06
367.2	8.3244E-06
367.4	8.2735E-06
367.6	8.2229E-06
367.8	8.1727E-06
368	8.1227E-06
368.2	8.073E-06
368.4	8.0237E-06
368.6	7.9746E-06
368.8	7.9448E-06
369	7.9652E-06
369.2	7.9856E-06
369.4	8.006E-06
369.6	8.0265E-06
369.8	8.0471E-06
370	8.0677E-06
370.2	8.0883E-06
370.4	8.1091E-06
370.6	8.1133E-06
370.8	8.1131E-06
371	8.1129E-06
371.2	8.1127E-06
371.4	8.1125E-06
371.6	8.1122E-06
371.8	8.112E-06
372	8.1118E-06
372.2	8.121E-06
372.4	8.153E-06
372.6	8.185E-06
372.8	8.2172E-06
373	8.2495E-06
373.2	8.2819E-06
373.4	8.3144E-06
373.6	8.3471E-06
373.8	8.3799E-06
374	8.3601E-06
374.2	8.328E-06
374.4	8.296E-06
374.6	8.2641E-06
374.8	8.2324E-06
375	8.2008E-06
375.2	8.1693E-06
375.4	8.138E-06
375.6	8.1001E-06
375.8	8.0488E-06
376	7.9979E-06
376.2	7.9472E-06
376.4	7.8969E-06
376.6	7.8469E-06
376.8	7.7972E-06
377	7.7478E-06
377.2	7.6988E-06
377.4	7.8723E-06
377.6	8.0938E-06
377.8	8.3215E-06
378	8.5556E-06
378.2	8.7962E-06
378.4	9.0437E-06
378.6	9.2981E-06
378.8	9.5597E-06
379	9.8884E-06
379.2	1.0342E-05
379.4	1.0816E-05
379.6	1.1312E-05
379.8	1.183E-05
380	1.2373E-05
380.2	1.294E-05
380.4	1.3533E-05
380.6	1.4154E-05
380.8	1.459E-05
381	1.501E-05
381.2	1.5441E-05
381.4	1.5885E-05
381.6	1.6341E-05
381.8	1.6811E-05
382	1.7294E-05
382.2	1.7791E-05
382.4	1.8194E-05
382.6	1.8442E-05
382.8	1.8694E-05
383	1.8948E-05
383.2	1.9207E-05
383.4	1.9468E-05
383.6	1.9734E-05
383.8	2.0003E-05
384	2.0275E-05
384.2	2.0583E-05
384.4	2.0899E-05
384.6	2.1219E-05
384.8	2.1544E-05
385	2.1874E-05
385.2	2.221E-05
385.4	2.255E-05
385.6	2.2896E-05
385.8	2.3283E-05
386	2.3725E-05
386.2	2.4175E-05
386.4	2.4633E-05
386.6	2.51E-05
386.8	2.5576E-05
387	2.6061E-05
387.2	2.6555E-05
387.4	2.7059E-05
387.6	2.7427E-05
387.8	2.7795E-05
388	2.8169E-05
388.2	2.8547E-05
388.4	2.893E-05
388.6	2.9319E-05
388.8	2.9713E-05
389	3.0112E-05
389.2	3.0882E-05
389.4	3.2059E-05
389.6	3.3281E-05
389.8	3.4549E-05
390	3.5866E-05
390.2	3.7232E-05
390.4	3.8651E-05
390.6	4.0124E-05
390.8	4.1639E-05
391	4.2609E-05
391.2	4.3603E-05
391.4	4.462E-05
391.6	4.566E-05
391.8	4.6725E-05
392	4.7814E-05
392.2	4.8929E-05
392.4	5.007E-05
392.6	5.0686E-05
392.8	5.0868E-05
393	5.105E-05
393.2	5.1233E-05
393.4	5.1416E-05
393.6	5.1601E-05
393.8	5.1785E-05
394	5.1971E-05
394.2	5.2114E-05
394.4	5.1821E-05
394.6	5.153E-05
394.8	5.1241E-05
395	5.0953E-05
395.2	5.0667E-05
395.4	5.0383E-05
395.6	5.01E-05
395.8	4.9819E-05
396	4.9282E-05
396.2	4.86E-05
396.4	4.7927E-05
396.6	4.7263E-05
396.8	4.6609E-05
397	4.5963E-05
397.2	4.5327E-05
397.4	4.4699E-05
397.6	4.4046E-05
397.8	4.3221E-05
398	4.2413E-05
398.2	4.1619E-05
398.4	4.084E-05
398.6	4.0076E-05
398.8	3.9326E-05
399	3.859E-05
399.2	3.7868E-05
399.4	3.7102E-05
